t,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
247,248.0,1.9970083e-09,8.464225e-09,61176.965,61165.02,61177.82,0.0,0.0
248,249.0,2.4491542e-09,7.99072e-09,76862.94,76917.96,76914.18,0.0,0.0
249,250.0,8.22982e-10,4.5984665e-09,61176.973,61165.027,61162.242,0.0,0.0
250,251.0,1.9135842e-09,5.2232294e-09,61176.965,61173.652,61189.633,0.0,0.0
251,252.0,6.881165e-09,3.5682064e-08,70675.59,70698.95,70720.78,0.0,0.0
252,253.0,9.2548613e-10,6.2780754e-09,76862.945,76917.96,76920.35,0.0,0.0
253,254.0,1.06642055e-08,1.29812e-08,43487.12,43353.32,43324.14,0.0,0.0
254,255.0,3.1020184e-09,4.8926343e-09,59644.23,59655.867,59667.348,0.0,0.0
255,256.0,1.1194768e-09,7.5501685e-09,70675.59,70704.555,70745.73,0.0,0.0
256,257.0,9.993966e-10,3.1566993e-09,76862.94,76917.96,76926.766,0.0,0.0
257,258.0,1.1342317e-09,2.7167548e-09,66593.61,66604.97,66624.875,0.0,0.0
258,259.0,4.510028e-09,7.741123e-09,54207.273,54150.8,54127.4,0.0,0.0
259,260.0,1.8524157e-09,8.765875e-09,73025.53,73055.49,73048.87,0.0,0.0
260,261.0,1.6506084e-09,4.411333e-09,73025.53,73055.49,73080.59,0.0,0.0
261,262.0,1.051657e-09,4.140416e-09,59644.23,59655.867,59654.16,0.0,0.0
262,263.0,4.057892e-09,9.415105e-09,76862.94,76917.95,76907.02,0.0,0.0
263,264.0,4.668902e-09,4.9564957e-09,45253.133,45122.734,45104.453,0.0,0.0
264,265.0,1.8740156e-09,6.6821784e-09,88112.57,88196.58,88252.83,0.0,0.0
265,266.0,3.0657104e-09,3.756503e-09,49736.215,49722.676,49754.457,0.0,0.0
266,267.0,6.99964e-09,5.324954e-09,59644.223,59655.867,59637.473,0.0,0.0
267,268.0,2.1168747e-09,2.4337747e-09,70675.59,70698.95,70723.97,0.0,0.0
268,269.0,9.614249e-10,3.2705512e-09,66593.6,66604.97,66633.01,0.0,0.0
269,270.0,2.7707596e-09,3.2645466e-09,66593.62,66604.97,66583.66,0.0,0.0
270,271.0,1.6639378e-09,8.035603e-09,78053.83,78112.39,78179.57,0.0,0.0
271,272.0,9.239774e-09,5.70884e-09,59644.23,59655.867,59628.145,0.0,0.0
272,273.0,1.8789774e-09,5.0568234e-09,44329.285,44198.254,44187.277,0.0,0.0
273,274.0,7.1236834e-09,8.521727e-09,70675.59,70704.56,70657.445,0.0,0.0
274,275.0,3.902807e-09,5.2193503e-09,44058.598,43926.207,43916.887,0.0,0.0
275,276.0,2.9758702e-09,1.3606067e-08,76862.945,76917.945,76882.945,0.0,0.0
276,277.0,3.6711123e-09,4.1538564e-09,49736.21,49722.68,49759.926,0.0,0.0
277,278.0,1.0194305e-09,2.71486e-09,70675.586,70704.555,70733.72,0.0,0.0
278,279.0,1.0636168e-09,3.4347372e-09,90018.336,90103.12,90104.08,0.0,0.0
279,280.0,4.600642e-09,7.1637434e-09,79365.305,79442.02,79419.91,0.0,0.0
280,281.0,2.4910907e-09,9.8912665e-09,45239.586,45109.125,45117.613,0.0,0.0
281,282.0,3.3669458e-09,4.132826e-09,49736.215,49722.68,49768.203,0.0,0.0
282,283.0,3.5462644e-09,6.117006e-09,89607.336,89690.97,89649.08,0.0,0.0
283,284.0,6.385751e-09,1.8951129e-08,61176.973,61165.02,61180.457,0.0,0.0
284,285.0,1.4767615e-09,5.3233506e-09,73025.53,73055.5,73088.66,0.0,0.0
285,286.0,2.789085e-09,8.669291e-09,59644.223,59655.867,59595.516,0.0,0.0
286,287.0,5.359503e-09,1.1127149e-08,45844.41,45714.08,45714.145,0.0,0.0
287,288.0,2.3196776e-09,7.488712e-09,76862.94,76917.96,76963.02,0.0,0.0
